ID,競技,種目,順位,選手,チーム,記録
1,競泳,男子50m自由形,1,ケーレブ・ドレセル,アメリカ,21.07
2,競泳,男子50m自由形,2,フローラン・マナドゥ,フランス,21.55
3,競泳,男子50m自由形,3,ブルーノ・フラトゥス,ブラジル,21.57
4,競泳,男子50m自由形,4,マイケル・アンドルー,アメリカ,21.60
5,競泳,男子50m自由形,5,ベンジャミン・プラウド,イギリス,21.72
6,競泳,男子50m自由形,5,クリスティアン・ゴロメーフ,ギリシャ,21.72
7,競泳,男子50m自由形,7,ロレンツォ・ザッツェリ,イタリア,21.78
8,競泳,男子50m自由形,8,トム・デブール,オランダ,21.79
9,競泳,男子100m自由形,1,ケーレブ・ドレセル,アメリカ,47.02
10,競泳,男子100m自由形,2,カイル・チャルマーズ,オーストラリア,47.08
11,競泳,男子100m自由形,3,クリメント・コレスニコフ,ROC,47.44
12,競泳,男子100m自由形,4,マキシム・グルセ,フランス,47.72
13,競泳,男子100m自由形,5,黄宣優,韓国,47.82
14,競泳,男子100m自由形,6,アレサンドロ・ミレシ,イタリア,47.86
15,競泳,男子100m自由形,7,ダビド・ポポビシ,ルーマニア,48.04
16,競泳,男子100m自由形,8,ナンドル・ネメト,ハンガリー,48.10
17,競泳,男子200m自由形,1,トム・ディーン,イギリス,1:44.22
18,競泳,男子200m自由形,2,ダンカン・スコット,イギリス,1:44.26
19,競泳,男子200m自由形,3,フェルナンド・シェフェル,ブラジル,1:44.66
20,競泳,男子200m自由形,4,ダビド・ポポビシ,ルーマニア,1:44.68
21,競泳,男子200m自由形,5,マルチン・マリュチン,ROC,1:45.01
22,競泳,男子200m自由形,6,キーラン・スミス,アメリカ,1:45.12
23,競泳,男子200m自由形,7,黄宣優,韓国,1:45.26
24,競泳,男子200m自由形,8,ダナス・ラプシス,リトアニア,1:45.78
25,競泳,男子400m自由形,1,アハメド・ハフナウーイ,チュニジア,3:43.36
26,競泳,男子400m自由形,2,ジャックアラン・マクラフリン,オーストラリア,3:43.52
27,競泳,男子400m自由形,3,キーラン・スミス,アメリカ,3:43.94
28,競泳,男子400m自由形,4,ヘニンクベネト・ミュールライトナー,ドイツ,3:44.07
29,競泳,男子400m自由形,4,フェリックス・アウベック,オーストリア,3:44.07
30,競泳,男子400m自由形,6,ガブリエレ・デッティ,イタリア,3:44.88
31,競泳,男子400m自由形,7,エリジャ・ウィニントン,オーストラリア,3:45.20
32,競泳,男子400m自由形,8,ジェーク・ミッチェル,アメリカ,3:45.39
33,競泳,男子800m自由形,1,ロバート・フィンケ,アメリカ,7:41.87
34,競泳,男子800m自由形,2,グレゴリオ・パルトリニエリ,イタリア,7:42.11
35,競泳,男子800m自由形,3,ミハイロ・ロマンチュク,ウクライナ,7:42.33
36,競泳,男子800m自由形,4,フロリアン・ウェルブロック,ドイツ,7:42.68
37,競泳,男子800m自由形,5,ジャックアラン・マクラフリン,オーストラリア,7:45.00
38,競泳,男子800m自由形,6,セルヒー・フロロフ,ウクライナ,7:45.11
39,競泳,男子800m自由形,7,フェリックス・アウベック,オーストリア,7:49.14
40,競泳,男子800m自由形,8,ギリェルメ・コスタ,ブラジル,7:53.31
41,競泳,男子1500m自由形,1,ロバート・フィンケ,アメリカ,14:39.65
42,競泳,男子1500m自由形,2,ミハイロ・ロマンチュク,ウクライナ,14:40.66
43,競泳,男子1500m自由形,3,フロリアン・ウェルブロック,ドイツ,14:40.91
44,競泳,男子1500m自由形,4,グレゴリオ・パルトリニエリ,イタリア,14:45.01
45,競泳,男子1500m自由形,5,ダニエル・ジャービス,イギリス,14:55.48
46,競泳,男子1500m自由形,6,キリル・マルティニチェフ,ROC,14:55.85
47,競泳,男子1500m自由形,7,フェリックス・アウベック,オーストリア,15:03.47
48,競泳,男子1500m自由形,8,セルヒー・フロロフ,ウクライナ,15:04.26
49,競泳,男子100m背泳ぎ,1,エフゲニー・リロフ,ROC,51.98
50,競泳,男子100m背泳ぎ,2,クリメント・コレスニコフ,ROC,52.00
51,競泳,男子100m背泳ぎ,3,ライアン・マーフィー,アメリカ,52.19
52,競泳,男子100m背泳ぎ,4,トマス・チェコン,イタリア,52.30
53,競泳,男子100m背泳ぎ,5,徐嘉余,中国,52.51
54,競泳,男子100m背泳ぎ,6,ウーゴ・ゴンサレス,スペイン,52.78
55,競泳,男子100m背泳ぎ,7,ミッチ・ラーキン,オーストラリア,52.79
56,競泳,男子100m背泳ぎ,8,ロベルト・グリンツァ,ルーマニア,52.95
57,競泳,男子200m背泳ぎ,1,エフゲニー・リロフ,ROC,1:53.27
58,競泳,男子200m背泳ぎ,2,ライアン・マーフィー,アメリカ,1:54.15
59,競泳,男子200m背泳ぎ,3,ルーク・グリーンバンク,イギリス,1:54.72
60,競泳,男子200m背泳ぎ,4,ブライス・メフォード,アメリカ,1:55.49
61,競泳,男子200m背泳ぎ,5,アダム・テレグディ,ハンガリー,1:56.15
62,競泳,男子200m背泳ぎ,6,ラドスワフ・カベツキ,ポーランド,1:56.39
63,競泳,男子200m背泳ぎ,7,入江陵介,日本,1:57.32
64,競泳,男子200m背泳ぎ,8,ニコラス・ガルシアサイス,スペイン,1:59.06
65,競泳,男子100m平泳ぎ,1,アダム・ピーティ,イギリス,57.37
66,競泳,男子100m平泳ぎ,2,アルノ・カミンハ,オランダ,58.00
67,競泳,男子100m平泳ぎ,3,ニコロ・マルティネンギ,イタリア,58.33
68,競泳,男子100m平泳ぎ,4,マイケル・アンドルー,アメリカ,58.84
69,競泳,男子100m平泳ぎ,5,ジェームズ・ウィルビー,イギリス,58.96
70,競泳,男子100m平泳ぎ,6,閻子貝,中国,58.99
71,競泳,男子100m平泳ぎ,6,アンドルー・ウィルソン,アメリカ,58.99
72,競泳,男子100m平泳ぎ,8,イリヤ・シマノビチ,ペラルーシ,59.36
73,競泳,男子200m平泳ぎ,1,イザーク・スタブルティクック,オーストラリア,2:06.38
74,競泳,男子200m平泳ぎ,2,アルノ・カミンハ,オランダ,2:07.01
75,競泳,男子200m平泳ぎ,3,マッティ・マトソン,フィンランド,2:07.13
76,競泳,男子200m平泳ぎ,4,アントン・チュプコフ,ROC,2:07.24
77,競泳,男子200m平泳ぎ,5,ニック・フィンク,アメリカ,2:07.93
78,競泳,男子200m平泳ぎ,6,ジェームズ・ウィルビー,イギリス,2:08.19
79,競泳,男子200m平泳ぎ,7,武良竜也,日本,2:08.42
80,競泳,男子200m平泳ぎ,8,エリク・パーション,スウェーデン,2:08.88
81,競泳,男子100mバタフライ,1,ケーレブ・ドレセル,アメリカ,49.45
82,競泳,男子100mバタフライ,2,クリシュトフ・ミラク,ハンガリー,49.68
83,競泳,男子100mバタフライ,3,ノエ・ポンティ,スイス,50.74
84,競泳,男子100mバタフライ,4,アンドレイ・ミナコフ,ROC,50.88
85,競泳,男子100mバタフライ,5,ヤクプ・マエルスキ,ポーランド,50.92
